gene,FAD_mean,FAD_KO_mean,log2_fold_change,p_value,neg_log10_p
Fh1,4.841644504909798,5.083000123776994,0.24135561886719614,0.013241488510290115,1.8780631919756827
Clptm1,4.127856147111969,4.472845186868054,0.34498903975608464,0.013253739736860436,1.8776615618839843
Rab7,6.53786233067463,6.75804940218585,0.2201870715112193,0.01326190548377214,1.8773940715848063
Ube2j1,5.6264163082442105,5.762993503514889,0.1365771952706787,0.013327711838164155,1.8752444058268518
Mrps24,2.5127318816198287,2.9020812294684526,0.38934934784862385,0.013416713745584877,1.8723538460844569
Gpbp1,4.809601238389656,5.118166781714343,0.30856554332468633,0.013444897876782446,1.8714424921925055
Slc35b1,4.9249544012695425,5.083103267066647,0.15814886579710485,0.013668059323591207,1.8642931448972435
Mzt2,1.841863401847364,2.2754972025278892,0.43363380068052515,0.01370548993290502,1.863105435034804
Lrrc8d,4.597982313926308,4.859512002804656,0.2615296888783476,0.013806865407273822,1.8599049087381958
D630041G03Rik,2.604366128799646,2.1874410831556985,-0.4169250456439473,0.014026567312246803,1.8530485998022914
Nsmce2,2.316067101206035,2.7472612388329227,0.43119413762688774,0.014051964077859636,1.8522629690997159
Ctbp1,5.143128764917037,5.437162987652943,0.29403422273590607,0.014142194362258534,1.8494831983551974
Lpin1,4.134255427839449,4.554525513840345,0.42027008600089655,0.014152191879688905,1.8491762917627512
Myef2,5.506294770386945,5.694554548774316,0.18825977838737096,0.014239222511773496,1.8465137233441589
Tipin,3.9727492636834163,4.389787474847786,0.4170382111643698,0.014372477366911175,1.8424683665875936
Dmxl2,6.254118494536797,6.4169845937169825,0.16286609918018513,0.01440125431732523,1.8415996801707741
Srsf10,4.7968806884472555,4.546621668790226,-0.25025901965702957,0.014605919428351061,1.8354710994168093
Ntrk3,6.074942735611979,5.880315218513346,-0.1946275170986338,0.014657809665758963,1.8339309219966706
Idh3a,5.175309481213039,5.409687268544748,0.23437778733170944,0.014675740878232067,1.8333999649555714
Tmem181b-ps,1.3905008182323566,2.2161369035757885,0.8256360853434319,0.014722982965478684,1.8320041903924302
Fjx1,4.798261975993838,5.212566365706264,0.41430438971242634,0.01487786223333898,1.8274594671075188
Sall1,3.1537149943534835,3.614110518348768,0.4603955239952846,0.014914740509103996,1.8263842982150655
Glyr1,5.941138967707485,6.1706036341635455,0.22946466645606023,0.014980458616872791,1.8244748907935397
Srebf2,4.224691613485164,4.425087807541931,0.20039619405676667,0.014981178388580992,1.824454024585121
Tulp3,2.283537755756384,2.5452531018045854,0.26171534604820135,0.01502813392579277,1.8230949433016514
Mtpap,3.8893547437742217,4.1850926601623835,0.2957379163881617,0.015141278630698356,1.8198374485605622
Ndnf,3.1444680871634323,2.980645872768072,-0.16382221439536027,0.01528381497002479,1.815768228637622
Tmod3,2.364161551141429,2.604744031978752,0.2405824808373227,0.015296652151479958,1.8154036091323347
Orc5,2.428927186358003,2.818408699423804,0.3894815130658009,0.015425165564586138,1.8117701658101002
Cenpw,2.3950682857124823,2.79656636139419,0.4014980756817077,0.015523457668522376,1.8090115382898133
Fech,4.4504331520181895,4.67068579164777,0.22025263962958075,0.01555929559221399,1.808010068486385
Dhrs7b,4.075412328106318,4.280721640789534,0.20530931268321595,0.015564751914781103,1.807857797108048
Ndufb10,4.771060316818283,5.114980175388714,0.3439198585704313,0.01557137888040417,1.8076729279819352
Bmpr1a,3.2972606937154025,3.7063217078853334,0.4090610141699309,0.015651700391348517,1.8054384740622749
Mrps7,3.0843750491827593,3.3891671871111897,0.3047921379284304,0.015705811277905254,1.8039396253643267
Mbd4,2.7164697444755945,3.051953005653481,0.3354832611778864,0.015842091010919143,1.8001874960691422
Adgrg1,4.6432240079312885,5.131284006823321,0.4880599988920329,0.015906130541763847,1.798435457609715
Cnksr2,5.306696446901648,4.890675647003229,-0.4160207998984191,0.016136834653094,1.7921816509964332
Thpo,1.87393386104616,2.2323564486732086,0.3584225876270486,0.01615941489236518,1.7915743684140017
Ybx1,5.4631692192969625,5.616776513002549,0.15360729370558612,0.01623592129928707,1.7895230625141625
Hey1,4.4250933972719055,4.6062540507765775,0.18116065350467192,0.01639188803104113,1.7853710211556086
Mtx2,4.361221260245396,4.645386270466173,0.2841650102207769,0.016432018574782672,1.784309082819274
Wrnip1,6.126192249874808,6.377822340969986,0.2516300910951781,0.01646160306064441,1.7835278746831476
Nim1k,2.970044251112988,3.276506648789873,0.306462397676885,0.01648743712143791,1.7828468477224315
4930452B06Rik,2.369798039355004,2.897807395608567,0.528009356253563,0.016514216514008254,1.7821420257699827
Fabp7,4.402745002469483,5.025212307654626,0.6224673051851433,0.01652132798168022,1.7819550470921361
Esd,3.915781453431061,4.117705313594988,0.20192386016392705,0.016596638126910347,1.7799798752609939
Gtf3c6,2.9871031263623333,2.7931678021885507,-0.19393532417378267,0.016736808213310632,1.7763273604116492
Tcp1,5.770651112243397,5.889341345047484,0.11869023280408708,0.016782722973333192,1.7751375741180195
Dgcr6,3.2973554781137597,3.7336716242270733,0.4363161461133136,0.01683438124342269,1.7738028417056892
